establishment_id,establishment_number,establishment_name,duns_number,street,city,state,zip,phone,grant_date,activities,dbas,district,circuit,size,latitude,longitude,county,fips_code
126730,G21932+V21936,Sonstegard of Arkansas,,915 N. Jefferson St. ,Springdale,AR,72764,(479) 872-0700,12/7/2021,Certification - Export; Egg Product; Voluntary Egg Products Inspection/Processing,,35,3512,Small,36.19383106,-94.12243753,Washington County,05143
6167922,G2571,"Bakehouse Enterprises, LLC, DBA Boxford Bakehouse",015382449,40 Grissom Road Building 2 Unit D,Plymouth,MA,02360,(508) 923-8424,1/16/2025,Egg Product,Boxford Bakehouse,60,6029,Very Small,41.95721201,-70.69002221,Plymouth County,25023
6167976,G2642,H.B. Taylor Co.,010969251,4830 S. Christiana Ave. ,Chicago,IL,60632,(773) 254-4805,10/31/2024,Egg Product,,50,5003,Very Small,41.805008,-87.70786804,Cook County,17031
6168031,G2665+V2665,Profile Food Ingredients,,1151 Timber Drive ,Elgin,IL,60123,(847) 622-1700,5/14/2024,Certification - Export; Egg Product,Holton Foods.,50,5004,Small,42.05727102,-88.30719096,Kane County,17089
126704,G31538,Center Fresh Egg Farm L.L.P.,,4135 Garfield Ave. ,Sioux Center,IA,51250,(712) 722-4265,9/21/2021,Egg Product,,25,2506,Small,43.051029,-96.23663003,Sioux County,19167
126720,G31540+V31540,"Hickman's Egg Ranch, Inc.",035864263,32425 West Salome Hwy ,Arlington,AZ,85332,,2/25/2022,Certification - Export; Egg Product,Hickmans Family Farms,05,0504,Small,33.36498731,-112.7489453,Maricopa County,04013
12402,G31542+V31542,Texas Egg Products LLC,,1808 East Hwy 90 ,Waelder,TX,78959,(830) 788-7792,10/27/2021,Certification - Export; Egg Product; Voluntary Egg Products Inspection/Processing,,40,4030,Small,29.69094702,-97.27955303,Gonzales County,48177
12678,G31546+V31546,"New Day Farms, LLC",,27322 State Route 739 ,Raymond,OH,43067,(937) 358-2114,4/11/2022,Egg Product; Voluntary Egg Products Inspection/Processing,,50,5011,Small,40.39368201,-83.45287301,Union County,39159
12798,G31547,"New Day Farms, LLC - Farm 3",,27400 Coder-Holloway Rd. ,West Mansfield,OH,43358,,4/11/2022,Egg Product,,50,5011,Small,40.38985801,-83.48655904,Union County,39159
126705,G31548,Michael Foods Inc.,,1260 Highway 18E ,Britt,IA,50423,(641) 843-3100,4/6/2021,Egg Product,"Michael Foods, Inc.",25,2515,Small,43.10310098,-93.74147098,Hancock County,19081
126626,G31551+V31551,Thrive Life,,691 Automall Drive ,American Fork,UT,84003,(801) 756-9902,12/4/2019,Egg Product; Voluntary Egg Products Inspection/Processing,Thrive Foods,15,1532,Very Small,40.36362702,-111.792364,Utah County,49049
126707,G31556,Hawkeye Pride Egg Farm LLP,,1275 Deer Ave. ,Corwith,IA,50430,(515) 583-2600,4/6/2021,Egg Product,,25,2515,Small,42.94795502,-93.91402201,Hancock County,19081
126643,G339+V339,Oskaloosa Food Products Corp.,,543 Ninth Avenue East ,Oskaloosa,IA,52577,(641) 673-3486,5/11/2016,Egg Product,,25,2509,Large,41.28702994,-92.63903444,Mahaska County,19123
6163053,G34777,"Forsman Farms, Inc.",,1200 Commerce Blvd ,Howard Lake,MN,55329,(320) 286-5905,2/18/2022,Egg Product,,25,2507,Small,45.05917601,-94.08650004,Wright County,27171
126690,G3860,"Central Storage & Warehouse Co., Inc.",,2650 Fortune Drive ,Eau Claire,WI,54703,(715) 874-2951,12/11/2014,Egg Product,,25,2522,,44.852761,-91.54583597,Eau Claire County,55035
124264,G420+V420,M.G. Waldbaum Company,007266158,105 N. Maint Street ,Wakefield,NE,68784,(402) 287-2211,12/4/2019,Certification - Export; Egg Product; Voluntary Egg Products Inspection/Processing,"M.G. Waldbaum; Michael Foods, Inc.",15,1528,Small,42.271923,-96.863073,Dixon County,31051
124265,G420D+V420D,M.G. Waldbaum Company,007266158,101A North Oak Street ,Wakefield,NE,68784,(402) 287-2211,12/4/2019,Certification - Export; Egg Product; Voluntary Egg Products Inspection/Processing,,15,1528,Small,42.26989098,-96.86081804,Dixon County,31051
126716,G420G+V420G,Husker Pride Farms MG Waldbaum Co.,,58365 861 Road ,Wakefield,NE,68784,(402) 287-5000,1/12/2017,Certification - Export; Egg Product; Voluntary Egg Products Inspection/Processing,Michael Foods Egg Product Co.,15,1528,Very Small,42.30806083,-96.88096409,Dixon County,31051
126659,G420L+V420L,Big Red Farms,,58535 HWY 35 ,WAKEFIELD,NE,68784,(402) 287-2211,1/12/2017,Certification - Export; Egg Product; Voluntary Egg Products Inspection/Processing,"MG Waldbaum Co.; Michael Foods, Inc",15,1528,Small,42.29326639,-96.81926861,Dixon County,31051
126624,G420M+V420M,Bloom-N-Egg Farm,01-807-6351,54080 Highway 84 West  P.O. Box 180,Bloomfield,NE,68718,(402) 373-6300,10/15/2019,Certification - Export; Egg Product; Voluntary Egg Products Inspection/Processing,Michael Foods Egg Products Company,15,1528,N / A,42.59732714,-97.70451329,Knox County,31107
126629,G45381+V45381,Cooper Farms Liquid Egg Products,079682730,2360 Wabash Rd ,Ft. Recovery,OH,45846,(419) 375-5800,10/27/2021,Certification - Export; Egg Product; Voluntary Egg Products Inspection/Processing,,50,5032,Small,40.41880898,-84.77566499,Mercer County,39107
6162063,G45702+V45702,Chino Valley Ranchers,,331 W. Citrus Street ,Colton,CA,92324,(909) 264-2200,10/27/2021,Certification - Export; Egg Product,Chino Valley Ranchers,05,0525,Small,34.085783,-117.324723,San Bernardino County,06071
6164114,G46444,Infinite Commerce (Judee's),,"8205 Estates Parkway, Unit N,O,P ",Plain City,OH,43064,(614) 504-6279,12/26/2024,Egg Product,,50,5027,Very Small,40.12865901,-83.20010004,Union County,39159
6164223,G46493,"New Day Farms, LLC",,9300 Croton Road ,Croton,OH,43031,(740) 893-2020,10/27/2021,Egg Product,,50,5027,Small,40.186549,-82.693502,Licking County,39089
6164302,G46528+V46528,Pine Valley Ranch LLC,,21638 St. Rt 116 ,Spencerville,OH,45887,(419) 305-6865,8/16/2021,Certification - Export; Egg Product; Voluntary Egg Products Inspection/Processing,,50,5032,Small,40.6656362,-84.42054166,Auglaize County,39011
6164510,G46611,"Daybreak Foods, Inc.",927893602,N5344 Crossman Road ,Lake Mills,WI,53551,(920) 648-3951,12/8/2021,Egg Product,,25,2530,Small,43.039337,-88.94256697,Jefferson County,55055
6164537,G46630,"Modernist Pantry, LLC",,25 Harold L Dow Highway ,Eliot,ME,03903,(207) 200-3817,7/28/2021,Egg Product,,60,6025,Small,43.12204832,-70.76258845,York County,23031
6164741,G46780,Michael Foods Egg Products Company,018076351,101 Delaware Street ,Norwalk,IA,50211,(704) 989-7239,4/7/2021,Egg Product,,25,2509,Small,41.46217899,-93.68927503,Warren County,19181
6165556,G47419,"Cinnamonster Franchise Group, Inc.",,860 Highway 105 ,Palmer Lake,CO,80133,(303) 770-5075,11/18/2020,Egg Product,Cinnamonster,15,1511,Very Small,39.098634,-104.877623,El Paso County,08041
6166260,G47819,"Daybreak Foods, Inc.",,2550 HWY 17 ,Eagle Grove,IA,50533,(920) 988-0176,2/16/2022,Egg Product,,25,2515,Small,42.68423727,-93.90585928,Wright County,19197
6162072,G48139,Egg 24-7,,6752 Eton Avenue ,Canoga Park,CA,91303,(818) 346-3447,10/28/2021,Egg Product,,05,0515,Very Small,34.19314855,-118.5954007,Los Angeles County,06037
124261,G496,"Estherville Foods, Inc.",,105 N. 4th St. ,Estherville,IA,51334,,8/31/2021,Egg Product,,25,2515,Small,43.40342701,-94.83972401,Emmet County,19063
14095,G614,Trillium Farms,,Trillium Farms c/o Marseilles Layer Plant 20613 Township Highway 103,Harpster,OH,43323,(740) 499-3871,11/17/2021,Egg Product,,50,5011,Very Small,40.690911,-83.35983003,Wyandot County,39175
126644,G778,"Daybreak Foods, Inc.",,3159 Buchanan Ave. ,Eagle Grove,IA,50533,(515) 603-3050,11/12/2021,Egg Product,,25,2515,Small,42.595477,-93.947657,Wright County,19197
126713,G779,Sonstegard Foods of Georgia,,2079 Memorial Park Road ,Gainesville,GA,30504,,9/22/2021,Egg Product,,85,8513,Small,34.26838502,-83.85693397,Hall County,13139
8516,G783,"Wabash Valley Produce, Inc",016259947,40 N. second St. ,Zanesville,OH,43702,,10/14/2021,Egg Product,"B.E. Products, Inc; Ballas Egg Products Corp",50,5027,Small,39.94110802,-82.00986501,Muskingum County,39119
126645,G900,Centrum Valley Farms L.L.P.,,2865 310th St. ,Dows,IA,50071,(515) 852-3217,12/28/2021,Egg Product,,25,2515,Small,42.60336098,-93.606478,Wright County,19197
14144,G926,Trillium Farms - Layer # 5,,20449 Co Rd. 245 ,Mount Victory,OH,43340,(937) 354-2233,11/17/2021,Egg Product,,50,5011,Large,40.52910301,-83.44064297,Hardin County,39065
126131,I1,"Lineage Logistics PFS, LLC",,275 BLAIR ROAD ,AVENEL,NJ,07001,(908) 282-6500,1/17/2020,Imported Product,,80,8020,N / A,40.57907202,-74.256865,Middlesex County,34023
123561,I10,Atlantic Coast Freezers LLC,,2192 NW Blvd ,Vineland,NJ,08360,(856) 696-1770,1/11/2018,Imported Product,,80,8013,N / A,39.51805324,-75.02519722,Cumberland County,34011
6165207,I101,"Lineage Logistics, LLC",,2001 W. Garfield Street # C100 Pier 90 Building 391,Seattle,WA,98119,(206) 285-6500,3/10/2021,Imported Product,,15,1527,Large,47.632781,-122.380362,King County,53033
6165264,I102,Cool Port Oakland,,575 Maritime Street ,Oakland,CA,94607,(510) 564-8788,1/13/2022,Imported Product,"Dreisbach, Cool Port",05,0511,Large,37.802637,-122.320464,Alameda County,06001
6165364,I103,"Northwestern Selecta, Inc.",,"641 Calle B, Mario Julia Ind. Park ",San Juan,PR,00922,(787) 781-1950,2/28/2022,Imported Product,,85,8544,Very Small,18.41525799,-66.09710003,San Juan,72127
6166849,I1036+V1036,Americold Logistics LLC.,,2321 Industrial Way ,Vineland,NJ,08360,(856) 690-9000,12/9/2022,Certification - Export; Identification - Meat; Identification - Poultry; Imported Product,,80,8013,,39.51324099,-75.06598503,Cumberland County,34011
6165420,I105+V105,"MTC Logistics, Inc.",00-695-0257,250 Yeend Street ,Mobile,AL,36603,(443) 727-8800,7/9/2021,Certification - Export; Identification - Meat; Identification - Poultry; Imported Product; Off-Premise Freezing - Meat; Off-Premise Freezing - Poultry,,90,9009,N / A,30.665959,-88.04560098,Mobile County,01097
6165521,I107,"Jose Santiago, Inc.",09-006-7786,"Margianl Carr #5, Km. 4.4, Urb Industrial Luchetti",Bayamon,PR,00959,(787) 288-8835,2/8/2022,Imported Product,,85,8544,N / A,18.42685937,-66.13855141,Cataño,72033
6165612,I109,Isla Frio Refrigeration Corporation,117323517,100 Ave. Industrial # 1447 ,Cidra,PR,00739,(401) 487-8808,2/28/2022,Imported Product,,85,8544,Very Small,18.17183298,-66.15780998,Cidra,72041
123574,I11,Dynamic Ventures Inc.,,165-K Guerrero Street  Harmon Industrial Park,Harmon,GU,96913,(671) 649-9788,10/16/2017,Imported Product,Quality Distributors,15,1506,N / A,13.50015823,144.809021,,66010
6165495,I111,Detroit Cold Storage,,30405 Industrial Rd ,Livonia,MI,48150,(734) 205-9010,2/23/2025,Imported Product,,50,5008,N / A,42.38049363,-83.34364187,Wayne County,26163
6165776,I112+V112,"Lineage Logistics PFS, LLC",,601 Crossroads Blvd ,Logan Township,NJ,08085,(800) 678-7271,3/10/2021,Certification - Export; Identification - Meat; Identification - Poultry; Imported Product,,80,8012,N / A,39.78903032,-75.34731666,Gloucester County,34015
123556,I113,"San Rafael Distributing, Inc.",,"1270 N. Industrial Park Avenue, Suite C ",Nogales,AZ,85621,(520) 281-0566,1/14/2017,Imported Product,,05,0504,N / A,31.35485517,-110.9563925,Santa Cruz County,04023
123653,I114,"Konoike Pacific California, Inc.",,1420 Coil Avenue ,Wilmington,CA,90744,(310) 518-1000,6/25/2018,Imported Product,,05,0507,N / A,33.79443898,-118.241243,Los Angeles County,06037
6165922,I115,Nital Trading Co.,,501 NE 183rd Street ,Miami,FL,33179,(305) 888-6820,2/16/2022,Imported Product,,85,8535,Small,25.94354702,-80.18933701,Miami-Dade County,12086
123606,I116+V116,Celebrity Foods Division of Atalanta Corporation,,1 Atalanta Plaza ,Elizabeth,NJ,07206,(908) 351-8000,9/27/2021,Certification - Export; Imported Product,,80,8016,N / A,40.6506032,-74.1758632,Union County,34039
6166069,I119,"Supermercados Econo, Inc.",,"State Road #3 Km. 16.2, Lot 3 Bo. Canovanillas",Canovanas,PR,00729,(787) 620-9292,5/2/2022,Imported Product,,85,8544,Very Small,18.37548229,-65.9042161,Canóvanas,72029
6166088,I121+V121,"RSF Inc. ""DBA"" Freezpak Logistics",,1029 Newark Avenue ,Elizabeth,NJ,07208,(973) 523-1899,1/5/2022,Certification - Export; Identification - Meat; Identification - Poultry; Imported Product,Freezpak Logistics,80,8020,N / A,40.68691799,-74.20324404,Union County,34039
6166090,I123+V123,"Lineage Logistics, LLC",,3200 Lineage Way ,Portsmouth,VA,23703,(757) 929-0100,9/24/2021,Certification - Export; Identification - Meat; Identification - Poultry; Imported Product; Off-Premise Freezing - Meat; Off-Premise Freezing - Poultry,,80,8019,N / A,36.862639,-76.34314702,Portsmouth city,51740
6166124,I124,"Lineage Logistics, LLC",,2375 Tremont Road ,Savannah,GA,31405,(912) 521-6500,4/11/2022,Imported Product,,85,8509,Small,32.06122502,-81.14349096,Chatham County,13051
100218,I125+V19857,Envision Cold,,1600 Donner Avenue ,San Francisco,CA,94124,(415) 822-8445,9/20/2021,Certification - Export; Identification - Meat; Identification - Poultry; Imported Product,United Cold Storage,05,0519,N / A,37.72414002,-122.392842,San Francisco County,06075
123558,I126,"Theriault's Abattoir, Inc.",,316 Hamlin Road ,Hamlin,ME,04785,(207) 868-3344,8/19/2024,Imported Product,,60,6025,Very Small,47.13598027,-67.90560259,Aroostook County,23003
6166257,I129,Sorbello Refrigerated Services,,1269 North Main Road ,Vineland,NJ,08360,(707) 718-8294,10/6/2021,Imported Product,,80,8013,N / A,39.50821,-74.99098301,Cumberland County,34011
123572,I13,"Delaware Avenue Enterprises, Inc.",,c/o Packer Avenue Marine Terminal 3301 S. Columbus Blvd. ,Philadelphia,PA,19148,(215) 551-2735,4/18/2018,Imported Product,,60,6022,,39.90275431,-75.1397581,Philadelphia County,42101
6165997,I130+V47695,JE Exports,,1812 Pan American Street ,Calexico,CA,92231,(619) 778-0236,10/1/2021,Certification - Export; Identification - Meat; Identification - Poultry; Imported Product,JE Exports,05,0518,N / A,32.67579315,-115.3778625,Imperial County,06025
6166304,I133,Port of Palm Cold Storage Inc.,,1800 Martin Luther King Jr. Blvd. ,Riviera Beach,FL,33404,(561) 881-7256,10/28/2021,Imported Product,,85,8535,,26.7700631,-80.08478057,Palm Beach County,12099
6166305,I135,Derstine's Inc.,01-430-4042,3245 State Road ,Sellersville,PA,18960,(212) 572-7000,11/30/2021,Imported Product,,60,6060,Small,40.34393901,-75.30570503,Bucks County,42017
123515,I138,"Atkins Sheep Ranch, Inc.",,40880 Encyclopedia Circle  ,Fremont,CA,94538,(510) 440-8700,7/12/2021,Imported Product,,05,0511,N / A,37.51618102,-121.988022,Alameda County,06001
6166389,I140,Interstate Warehousing,,121 Harwood Drive ,Newport News,VA,23603,(757) 887-8100,12/22/2021,Imported Product,,80,8019,N / A,37.17798166,-76.59037553,Newport News City,51700
6166393,I141,"Lineage Logistics, LLC",,206 SW Michigan St ,Seattle,WA,98106,(206) 834-9732,2/2/2024,Imported Product,,15,1527,Small,47.54173199,-122.339136,King County,53033
6166415,I143,Americold Logistics LLC,,1301  26th Ave East ,Tacoma,WA,98424,(253) 620-7250,4/25/2023,Imported Product,,15,1527,N / A,47.24587398,-122.392763,Pierce County,53053
6166545,I149,"Lineage Logistics Services, LLC",,1710 Pier B St. ,Long Beach,CA,90813,(562) 637-7730,8/22/2022,Imported Product,,05,0507,N / A,33.77744899,-118.216598,Los Angeles County,06037
123545,I15,NOCS West Gulf,,9223 Texas Hwy 225 ,La Porte,TX,77571,(281) 930-8002,7/29/2020,Imported Product,,40,4032,N / A,29.69903199,-95.06922303,Harris County,48201
6166547,I151,"FlexCold, LLC",118316235,11180 Blasius Road ,Jacksonville,FL,29485,(904) 914-4353,1/18/2023,Imported Product,,85,8523,N / A,30.435062,-81.57294196,Duval County,12031
6162715,I153,"Micronesian Brokers, Inc.",77-990-8862,545 Chalan Machuate St. ,Maite,GU,96910,(671) 477-0970,2/8/2018,Imported Product,,15,1506,N / A,13.47556266,144.7685644,,66010
123503,I154,"Livingston International, Inc.",005133874,472 5th Street South ,Pembina,ND,58271,,4/8/2021,Imported Product,"Norman G. Jensen, Inc.",25,2527,Very Small,48.96587002,-97.25288802,Pembina County,38067
123692,I158,"Lineage Logistics MTC, LLC",,7950 Oceano Avenue ,Jessup,MD,20794,(240) 517-0889,10/1/2021,Imported Product,,80,8006,N / A,39.15754101,-76.78742099,Howard County,24027
123537,I16,Americold Logistics,,1610 Sepulveda Boulevard ,Carson,CA,90745,(310) 632-6265,3/17/2021,Imported Product,,05,0507,N / A,33.80761001,-118.242546,Los Angeles County,06037
6167105,I1651+V1651,RSF Inc dba FreezPak Logistics,,2 Paddock Street ,Woodbridge,NJ,07001,(973) 523-1899,3/31/2023,Certification - Export; Identification - Meat; Identification - Poultry; Identification - Siluriformes; Imported Product,,80,8020,,40.585288,-74.27421101,Middlesex County,34023
123607,I168,"Goya Foods, Inc.",,350 County Road ,Jersey City,NJ,07307,(201) 348-4900,4/15/2020,Imported Product,,80,8016,N / A,40.75976699,-74.06488899,Hudson County,34017
123577,I17,"Lineage Logistics PFS, LLC",611934159,3101 South 3rd Street ,Philadelphia,PA,19148,(215) 271-5600,6/21/2021,Imported Product,,60,6022,,39.90695398,-75.15286304,Philadelphia County,42101
123511,I171,Yaong Corporation Rem Center Warehouse,854859910,"Unit 6 Rem Center, Cheribiyan Drive Gualo Rai",Saipan,MP,96950,(670) 235-3890,10/15/2017,Imported Product,,15,1506,N / A,15.20388093,145.760035,Saipan,69110
6167150,I173,50th State Poultry,009202177,98-715 Kuahao Place ,Pearl City,HI,96782,(808) 778-0555,5/3/2023,Imported Product,,15,1505,Small,21.39193802,-157.955903,Honolulu County,15003
123523,I18,Envision Cold,,12190 Rojas Drive ,El Paso,TX,79936,(915) 860-2200,7/7/2021,Imported Product,,40,4022,N / A,31.71479199,-106.292254,El Paso County,48141
123562,I180,"Timberline Cold Storage, Inc.",,108 Densten Road ,Sewell,NJ,08080,(856) 589-3130,11/23/2020,Imported Product,,80,8013,N / A,39.74507211,-75.1124564,Gloucester County,34015
6167213,I1811+V1811,Sorbello Refrigerated Services - Houston LLC,,3350 Rogerdale Road ,Houston,TX,77042,(804) 370-1460,4/13/2023,Certification - Export; Identification - Meat; Identification - Poultry; Imported Product,Sorbello Refrigerated Services LLC,40,4026,N / A,29.72461201,-95.56369296,Harris County,48201
123551,I182,Americold Logistics LLC,,540 Franklinville Road ,Mullica Hill,NJ,08062,(856) 285-2663,7/8/2021,Imported Product,,80,8013,N / A,39.72053702,-75.25459797,Gloucester County,34015
6167242,I1847+V1847,"AAA Cold Storage, Inc.",,40767 Cannel Street ,Laredo,TX,78045,(956) 790-8124,5/23/2023,Certification - Export; Identification - Meat; Identification - Poultry; Imported Product,,40,4031,N / A,27.722311,-99.71599903,Webb County,48479
123675,I185,Malgor & Co.,,Box 366 ,Catano,PR,00963,(787) 788-0303,11/20/2017,Imported Product,,85,8544,N / A,18.44101,-66.12004,Cataño,72033
